ClientID,Lake_Name,Sample_Date,Info_Type,Ca_mg.L,Extracted_Chl.a_ug.L,FP_Chl_ug.L,FB_BGA_ug.L,FP_Green_ug.L,FP_Diatom_ug.L,FP_Crypto_ug.L,Microcystin_ug.L,Visual,Temp_air_C,Temp_water_C
19-41-11,Cazenovia Lake,6/1/19,BS,,,,,,,,,,,13
19-41-12,Cazenovia Lake,6/18/19,BS,,,,,,,,,,,15
19-41-13,Cazenovia Lake,7/8/19,BS,,,,,,,,,,,17
19-41-14,Cazenovia Lake,8/4/19,BS,,,,,,,,,,,15
19-41-15,Cazenovia Lake,8/18/19,BS,,,,,,,,,,,18
19-41-16,Cazenovia Lake,8/25/19,BS,,,,,,,,,,,16
19-41-17,Cazenovia Lake,9/1/19,BS,,,,,,,,,,,17
19-41-18,Cazenovia Lake,9/9/19,BS,,,,,,,,,,,14
19-41-01,Cazenovia Lake,6/1/19,OW,37.6,2.352,,,,,,,,23,17
19-41-02,Cazenovia Lake,6/18/19,OW,,3.31,,,,,,,,22,20
19-41-03,Cazenovia Lake,7/8/19,OW,,2.388,,,,,,,,28,26
19-41-04,Cazenovia Lake,8/4/19,OW,,3.042,,,,,,,,25,24
19-41-05,Cazenovia Lake,8/18/19,OW,26.3,5.34,5.775,3.19,0,0.861,1.723,,,26,24
19-41-06,Cazenovia Lake,8/25/19,OW,,5.44,6.839,3.39,0,1.452,1.995,,,26,24
19-41-07,Cazenovia Lake,9/1/19,OW,,6.412,6.482,3.981,0,0.17,2.333,,,22,21
19-41-08,Cazenovia Lake,9/9/19,OW,,7.34,4.935,2.355,0,0.361,2.218,,,20,20
19-41-B1,Cazenovia Lake,7/8/19,SB,,,0.683,0.562,0,0.01,0.111,0.351,Microcystis,,
19-41-B2,Cazenovia Lake,9/3/19,SB,,,1213.4,1058.1,0,0,155.4,75,"Microcystis, Dolichospermum",,
19-41-B3,Cazenovia Lake,9/9/19,SB,,,270.15,207.815,0,0,62.34,13.44,"Microcystis, Dolichospermum, Lyngbya",,
19-37-B1,Craine Lake,6/12/19,SB,,,525,525,0,0,0,75,"Dolichospermum, Microcystis",,
19-37-B2,Craine Lake,6/23/19,SB,,,612.2,550.7,44.2,0,17.6,75,"Microcystis, Dolichospermum",,
19-37-B3,Craine Lake,7/7/19,SB,,,271.4,271.4,0,0,0,75,Microcystis,,
19-37-B4,Craine Lake,7/23/19,SB,,,41.974,36.179,3.297,0.025,2.477,4.725,,,
19-37-B5,Craine Lake,8/5/19,SB,,,318.8,295.4,16.5,0,7,75,"Microcystis, Nitzschia",,
19-37-B6,Craine Lake,8/19/19,SB,,,899.3,889,3.9,0,6.4,75,Microcystis,,
19-37-B7,Craine Lake,9/3/19,SB,,,316.45,292.3,12.96,0.8,10.385,75,"Microcystis, Dolichospermum",,
19-37-B8,Craine Lake,9/16/19,SB,,,1326.8,1278.6,1.2,11.1,35.9,75,"Microcystis, Abae, Dolichospermum, Spiruli",,
19-37-11,Craine Lake,6/10/19,BS,,,,,,,,,,,11
19-37-12,Craine Lake,6/23/19,BS,,,,,,,,,,,15
19-37-13,Craine Lake,7/8/19,BS,,,,,,,,,,,15
19-37-14,Craine Lake,7/23/19,BS,,,,,,,,,,,14
19-37-15,Craine Lake,8/5/19,BS,,,,,,,,,,,14
19-37-16,Craine Lake,8/19/19,BS,,,,,,,,,,,16.5
19-37-17,Craine Lake,9/3/19,BS,,,,,,,,,,,17
19-37-18,Craine Lake,9/16/19,BS,,,,,,,,,,,19
19-37-01,Craine Lake,6/10/19,OW,39.2,3.726,2.73,0.914,1.347,0.456,0.012,,,20,19
19-37-02,Craine Lake,6/23/19,OW,,2.918,3.179,0.491,2.185,0.215,0.285,,,26.5,19
19-37-03,Craine Lake,7/8/19,OW,,6.036,6.377,1.547,3.175,0.952,0.706,,,25,25
19-37-04,Craine Lake,7/23/19,OW,,6.44,9.467,3.999,3.36,0.452,1.656,,,25,24
19-37-05,Craine Lake,8/5/19,OW,19.4,5.192,6.488,2.327,2.717,0.722,0.725,,,24,24
19-37-06,Craine Lake,8/19/19,OW,,4.552,7.035,4.623,0.69,0.765,0.953,,,27,24
19-37-07,Craine Lake,9/3/19,OW,,6.146,11.049,7.127,0.36,2.169,1.392,0.788,Microcystis,25,21
19-37-08,Craine Lake,9/16/19,OW,,12.884,6.332,2.379,0,2.073,1.879,,,20,19
19-17-11,Crooked Lake,6/18/19,BS,,,,,,,,,,,13
19-17-12,Crooked Lake,6/30/19,BS,,,,,,,,,,,14
19-17-13,Crooked Lake,7/15/19,BS,,,,,,,,,,,12
19-17-14,Crooked Lake,7/27/19,BS,,,,,,,,,,,12
19-17-15,Crooked Lake,8/12/19,BS,,,,,,,,,,,12
19-17-16,Crooked Lake,9/2/19,BS,,,,,,,,,,,11
19-17-17,Crooked Lake,9/28/19,BS,,,,,,,,,,,13
