SAMPLE_MONTH,LAKE,DREISSENIDS,YEARS_INVADED,DAYS_IN,COUNT,AVG_LENGTH,SD_LENGTH,MIN_LENGTH,MAX_LENGTH,ABUNDANCE
June,Cazenovia_A,Invaded,22,32,1,11.90,NA,11.90,11.90,11
July,Cazenovia_A,Invaded,22,54,13,10.16,2.57,3.67,13.03,138
August,Cazenovia_A,Invaded,22,82,8,7.83,3.14,2.79,11.74,85
September,Cazenovia_A,Invaded,22,152,163,4.02,1.54,1.31,13.09,1736
June,Cazenovia_B,Invaded,22,32,0,,,,,
July,Cazenovia_B,Invaded,22,54,4,9.49,1.29,7.87,11.01,43
August,Cazenovia_B,Invaded,22,82,1,16.32,NA,16.32,16.32,11
September,Cazenovia_B,Invaded,22,152,207,4.27,2.00,1.30,16.89,2204
June,EatonBrook,Invaded,20,28,30,8.80,3.92,2.01,15.04,319
July,EatonBrook,Invaded,20,55,208,9.94,3.81,2.96,18.19,2215
August,EatonBrook,Invaded,20,85,136,9.29,2.65,1.10,14.79,1448
September,EatonBrook,Invaded,20,119,161,7.83,4.57,0.99,17.93,1715
October,EatonBrook,Invaded,20,145,206,7.17,4.00,1.42,20.38,2194
June,Honeoye,Invaded,21,31,213,10.34,2.86,2.68,16.84,2268
July,Honeoye,Invaded,21,55,72,10.79,2.56,5.94,17.51,767
August,Honeoye,Invaded,21,92,144,8.36,4.80,0.86,17.45,1534
September,Honeoye,Invaded,21,118,124,9.26,4.30,1.21,17.08,1321
October,Honeoye,Invaded,21,150,86,8.59,3.50,1.55,17.44,916
June,Owasco,Invaded,22,39,41,5.13,1.85,1.88,9.82,437
July,Owasco,Invaded,22,53,32,6.61,1.87,3.60,9.82,341
August,Owasco,Invaded,22,83,71,6.70,4.07,0.86,14.70,756
September,Owasco,Invaded,22,133,86,8.87,4.03,2.69,16.57,916
June,Silver,Invaded,18,28,56,9.34,3.32,2.02,15.87,596
July,Silver,Invaded,18,63,88,9.66,3.43,3.03,16.10,937
August,Silver,Invaded,18,83,199,10.70,3.26,3.51,18.52,2119
September,Silver,Invaded,18,131,77,11.56,3.14,4.40,18.35,820
October,Silver,Invaded,18,150,110,11.00,4.24,1.11,17.76,1171
June,Song,Invaded,2,29,46,7.68,1.97,2.64,11.85,490
July,Song,Invaded,2,56,33,10.03,2.06,5.70,15.49,351
August,Song,Invaded,2,86,67,11.00,2.11,6.09,15.32,714
September,Song,Invaded,2,120,67,11.50,2.79,2.78,18.59,714
October,Song,Invaded,2,151,62,11.11,3.48,1.06,15.97,660
June,UpperLittleYork_A,Invaded,6,30,150,6.86,1.66,3.24,10.31,1597
July,UpperLittleYork_A,Invaded,6,62,177,8.13,2.28,2.23,13.23,1885
August,UpperLittleYork_A,Invaded,6,122,146,9.29,2.57,3.78,15.25,1555
September,UpperLittleYork_A,Invaded,6,152,233,9.64,2.75,1.93,16.56,2481
June,Craine,Invaded,12,28,0,,,,,
July,Craine,Invaded,12,55,0,,,,,
August,Craine,Invaded,12,85,0,,,,,
September,Craine,Invaded,12,119,0,,,,,
October,Craine,Invaded,12,145,0,,,,,
June,Crooked,Uninvaded,0,29,0,,,,,
July,Crooked,Uninvaded,0,56,0,,,,,
August,Crooked,Uninvaded,0,86,0,,,,,
September,Crooked,Uninvaded,0,120,0,,,,,
October,Crooked,Uninvaded,0,151,0,,,,,
June,Tully,Uninvaded,0,29,0,,,,,
July,Tully,Uninvaded,0,56,0,,,,,
August,Tully,Uninvaded,0,86,0,,,,,
September,Tully,Uninvaded,0,120,0,,,,,
October,Tully,Uninvaded,0,151,0,,,,,
