BRICK,DAYS_IN,LAKE,LAKE_INV.YEAR,SPP,LENGTH_MM,DEPTH_M
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,13.09,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,7.11,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.99,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.74,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.61,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.57,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.5,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.46,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.41,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.22,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.22,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.18,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.16,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.15,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.11,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.07,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.07,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,6.01,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.98,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.94,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.92,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.9,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.7,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.65,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.57,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.51,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.48,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.47,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.46,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.4,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.34,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.33,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.26,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.25,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.25,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.2,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.12,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.11,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.1,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,5.08,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.98,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.95,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.93,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.91,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.89,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.84,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.76,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.69,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.69,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.61,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.6,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.59,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.59,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.54,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.54,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.53,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.52,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.52,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.52,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.5,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.45,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.45,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.45,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.44,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.38,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.34,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.31,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.24,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.22,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.21,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.2,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.19,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.18,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.17,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.15,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.14,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.1,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,4.06,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,3.87,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,3.84,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,3.84,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,3.83,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,3.78,0.91
4,152,Cazenovia_A,Cazenovia_A - 1997,zebra,3.78,0.91
