"","SAMPLE_MONTH","LAKE","COUNT","AVG_LENGTH","SD_LENGTH","MIN_LENGTH","MAX_LENGTH","ABUNDANCE"
"1","June","Cazenovia_A",1,11.9,NA,11.9,11.9,10.6496272630458
"2","June","EatonBrook",30,8.798,3.92468439319736,2.01,15.04,319.488817891374
"3","June","Honeoye",213,10.3429107981221,2.86383994370104,2.68,16.84,2268.37060702875
"4","June","Owasco",41,5.13170731707317,1.84692433851393,1.88,9.82,436.634717784878
"5","June","Silver",56,9.34214285714286,3.32443609123041,2.02,15.87,596.379126730565
"6","June","Song",46,7.68478260869565,1.97490898707925,2.64,11.85,489.882854100106
"7","June","UpperLittleYork_A",150,6.85893333333333,1.65591279261131,3.24,10.31,1597.44408945687
"8","July","Cazenovia_A",13,10.1615384615385,2.571928090473,3.67,13.03,138.445154419595
"9","July","Cazenovia_B",4,9.485,1.29435955849473,7.87,11.01,42.5985090521832
"10","July","EatonBrook",208,9.94048076923077,3.80580661870149,2.96,18.19,2215.12247071353
"11","July","Honeoye",72,10.7926388888889,2.56339508204166,5.94,17.51,766.773162939297
"12","July","Owasco",32,6.6115625,1.8705909181498,3.6,9.82,340.788072417465
"13","July","Silver",88,9.65625,3.4266877920432,3.03,16.1,937.16719914803
"14","July","Song",33,10.0257575757576,2.06065983107206,5.7,15.49,351.437699680511
"15","July","UpperLittleYork_A",177,8.12813559322034,2.2793595650894,2.23,13.23,1884.98402555911
"16","August","Cazenovia_A",8,7.82625,3.13891672624262,2.79,11.74,85.1970181043664
"17","August","Cazenovia_B",1,16.32,NA,16.32,16.32,10.6496272630458
"18","August","EatonBrook",136,9.29183823529412,2.64528461038404,1.1,14.79,1448.34930777423
"19","August","Honeoye",144,8.35784722222222,4.80109663510043,0.86,17.45,1533.54632587859
"20","August","Owasco",71,6.69830985915493,4.07004176388382,0.86,14.7,756.123535676251
"21","August","Silver",199,10.7014572864322,3.26092791945692,3.51,18.52,2119.27582534611
"22","August","Song",67,10.9974626865672,2.10841484567563,6.09,15.32,713.525026624068
"23","August","UpperLittleYork_A",146,9.29315068493151,2.56901987305897,3.78,15.25,1554.84558040469
"24","September","Cazenovia_A",163,4.02374233128834,1.54037877572472,1.31,13.09,1735.88924387646
"25","September","Cazenovia_B",207,4.26995169082126,1.99778165750238,1.3,16.89,2204.47284345048
"26","September","EatonBrook",161,7.83099378881988,4.57203581637449,0.99,17.93,1714.58998935037
"27","September","Honeoye",124,9.25620967741935,4.3041871451028,1.21,17.08,1320.55378061768
"28","September","Owasco",86,8.87337209302326,4.03065710902157,2.69,16.57,915.867944621938
"29","September","Silver",77,11.5606493506494,3.14399650866216,4.4,18.35,820.021299254526
"30","September","Song",67,11.4997014925373,2.78717461487177,2.78,18.59,713.525026624068
"31","September","UpperLittleYork_A",233,9.63600858369099,2.75369640914156,1.93,16.56,2481.36315228967
"32","October","EatonBrook",206,7.17121359223301,4.00223522705655,1.42,20.38,2193.82321618743
"33","October","Honeoye",86,8.59139534883721,3.49926754110248,1.55,17.44,915.867944621938
"34","October","Silver",110,10.9989090909091,4.24084039305491,1.11,17.76,1171.45899893504
"35","October","Song",62,11.1125806451613,3.48262852279941,1.06,15.97,660.276890308839
